Y1Fe11Cr2            | TM ratio: 0.786 | 14 atoms
Y1Fe12Cr1            | TM ratio: 0.857 | 14 atoms
Y1Fe12Cr2            | TM ratio: 0.800 | 15 atoms
Y1Fe12Cr3            | TM ratio: 0.750 | 16 atoms
Y1Fe13Cr1            | TM ratio: 0.867 | 15 atoms
Y1Fe13Cr2            | TM ratio: 0.812 | 16 atoms
Y1Fe13Cr3            | TM ratio: 0.765 | 17 atoms
Y1Fe14Cr1            | TM ratio: 0.875 | 16 atoms
Y1Fe14Cr2            | TM ratio: 0.824 | 17 atoms
Y1Fe14Cr3            | TM ratio: 0.778 | 18 atoms
Y1Fe15Cr1            | TM ratio: 0.882 | 17 atoms
Y1Fe15Cr2            | TM ratio: 0.833 | 18 atoms
Y1Fe15Cr3            | TM ratio: 0.789 | 19 atoms
Y1Fe15Cr4            | TM ratio: 0.750 | 20 atoms
Y1Fe16Cr1            | TM ratio: 0.889 | 18 atoms
Y1Fe16Cr2            | TM ratio: 0.842 | 19 atoms
Y1Fe16Cr3            | TM ratio: 0.800 | 20 atoms
Y1Fe17Cr1            | TM ratio: 0.895 | 19 atoms
Y1Fe17Cr2            | TM ratio: 0.850 | 20 atoms
Y1Fe18Cr1            | TM ratio: 0.900 | 20 atoms
Y2Fe9Cr1             | TM ratio: 0.750 | 12 atoms
Y2Fe10Cr1            | TM ratio: 0.769 | 13 atoms
Y2Fe11Cr1            | TM ratio: 0.786 | 14 atoms
Y2Fe12Cr1            | TM ratio: 0.800 | 15 atoms
Y2Fe13Cr1            | TM ratio: 0.812 | 16 atoms
Y2Fe13Cr2            | TM ratio: 0.765 | 17 atoms
Y2Fe14Cr1            | TM ratio: 0.824 | 17 atoms
Y2Fe15Cr1            | TM ratio: 0.833 | 18 atoms
Y2Fe15Cr2            | TM ratio: 0.789 | 19 atoms
Y2Fe15Cr3            | TM ratio: 0.750 | 20 atoms
Y2Fe16Cr1            | TM ratio: 0.842 | 19 atoms
Y2Fe17Cr1            | TM ratio: 0.850 | 20 atoms
Y3Fe12Cr1            | TM ratio: 0.750 | 16 atoms
Y3Fe13Cr1            | TM ratio: 0.765 | 17 atoms
Y3Fe14Cr1            | TM ratio: 0.778 | 18 atoms
Y3Fe15Cr1            | TM ratio: 0.789 | 19 atoms
Y3Fe15Cr2            | TM ratio: 0.750 | 20 atoms
Y3Fe16Cr1            | TM ratio: 0.800 | 20 atoms
Y4Fe15Cr1            | TM ratio: 0.750 | 20 atoms
Y1Fe6Mn1             | TM ratio: 0.750 |  8 atoms
Y1Fe7Mn1             | TM ratio: 0.778 |  9 atoms
Y1Fe8Mn1             | TM ratio: 0.800 | 10 atoms
Y1Fe9Mn1             | TM ratio: 0.818 | 11 atoms
Y1Fe9Mn2             | TM ratio: 0.750 | 12 atoms
Y1Fe10Mn1            | TM ratio: 0.833 | 12 atoms
Y1Fe10Mn2            | TM ratio: 0.769 | 13 atoms
Y1Fe11Mn1            | TM ratio: 0.846 | 13 atoms
Y1Fe11Mn2            | TM ratio: 0.786 | 14 atoms
Y1Fe12Mn1            | TM ratio: 0.857 | 14 atoms
Y1Fe12Mn2            | TM ratio: 0.800 | 15 atoms
Y1Fe12Mn3            | TM ratio: 0.750 | 16 atoms
Y1Fe13Mn1            | TM ratio: 0.867 | 15 atoms
Y1Fe13Mn2            | TM ratio: 0.812 | 16 atoms
Y1Fe13Mn3            | TM ratio: 0.765 | 17 atoms
Y1Fe14Mn1            | TM ratio: 0.875 | 16 atoms
Y1Fe14Mn2            | TM ratio: 0.824 | 17 atoms
Y1Fe14Mn3            | TM ratio: 0.778 | 18 atoms
Y1Fe15Mn1            | TM ratio: 0.882 | 17 atoms
Y1Fe15Mn2            | TM ratio: 0.833 | 18 atoms
Y1Fe15Mn3            | TM ratio: 0.789 | 19 atoms
Y1Fe15Mn4            | TM ratio: 0.750 | 20 atoms
Y1Fe16Mn1            | TM ratio: 0.889 | 18 atoms
Y1Fe16Mn2            | TM ratio: 0.842 | 19 atoms
Y1Fe16Mn3            | TM ratio: 0.800 | 20 atoms
Y1Fe17Mn1            | TM ratio: 0.895 | 19 atoms
Y1Fe17Mn2            | TM ratio: 0.850 | 20 atoms
Y1Fe18Mn1            | TM ratio: 0.900 | 20 atoms
Y2Fe9Mn1             | TM ratio: 0.750 | 12 atoms
Y2Fe10Mn1            | TM ratio: 0.769 | 13 atoms
Y2Fe11Mn1            | TM ratio: 0.786 | 14 atoms
Y2Fe12Mn1            | TM ratio: 0.800 | 15 atoms
Y2Fe13Mn1            | TM ratio: 0.812 | 16 atoms
Y2Fe13Mn2            | TM ratio: 0.765 | 17 atoms
Y2Fe14Mn1            | TM ratio: 0.824 | 17 atoms
Y2Fe15Mn1            | TM ratio: 0.833 | 18 atoms
Y2Fe15Mn2            | TM ratio: 0.789 | 19 atoms
Y2Fe15Mn3            | TM ratio: 0.750 | 20 atoms
Y2Fe16Mn1            | TM ratio: 0.842 | 19 atoms
Y2Fe17Mn1            | TM ratio: 0.850 | 20 atoms
Y3Fe12Mn1            | TM ratio: 0.750 | 16 atoms
Y3Fe13Mn1            | TM ratio: 0.765 | 17 atoms
Y3Fe14Mn1            | TM ratio: 0.778 | 18 atoms
Y3Fe15Mn1            | TM ratio: 0.789 | 19 atoms
Y3Fe15Mn2            | TM ratio: 0.750 | 20 atoms
Y3Fe16Mn1            | TM ratio: 0.800 | 20 atoms
Y4Fe15Mn1            | TM ratio: 0.750 | 20 atoms
Y1Fe6Cu1             | TM ratio: 0.750 |  8 atoms
