Gd2Fe15         | TM ratio: 0.882 | 17 atoms
Gd2Fe17         | TM ratio: 0.895 | 19 atoms
Gd3Fe10         | TM ratio: 0.769 | 13 atoms
Gd3Fe11         | TM ratio: 0.786 | 14 atoms
Gd3Fe13         | TM ratio: 0.812 | 16 atoms
Gd3Fe14         | TM ratio: 0.824 | 17 atoms
Gd3Fe16         | TM ratio: 0.842 | 19 atoms
Gd3Fe17         | TM ratio: 0.850 | 20 atoms
Gd4Fe13         | TM ratio: 0.765 | 17 atoms
Gd4Fe15         | TM ratio: 0.789 | 19 atoms
Gd1Co3          | TM ratio: 0.750 |  4 atoms
Gd1Co4          | TM ratio: 0.800 |  5 atoms
Gd1Co5          | TM ratio: 0.833 |  6 atoms
Gd1Co6          | TM ratio: 0.857 |  7 atoms
Gd1Co7          | TM ratio: 0.875 |  8 atoms
Gd1Co8          | TM ratio: 0.889 |  9 atoms
Gd1Co9          | TM ratio: 0.900 | 10 atoms
Gd1Co10         | TM ratio: 0.909 | 11 atoms
Gd1Co11         | TM ratio: 0.917 | 12 atoms
Gd1Co12         | TM ratio: 0.923 | 13 atoms
Gd1Co13         | TM ratio: 0.929 | 14 atoms
Gd1Co14         | TM ratio: 0.933 | 15 atoms
Gd1Co15         | TM ratio: 0.938 | 16 atoms
Gd1Co16         | TM ratio: 0.941 | 17 atoms
Gd1Co17         | TM ratio: 0.944 | 18 atoms
Gd1Co18         | TM ratio: 0.947 | 19 atoms
Gd1Co19         | TM ratio: 0.950 | 20 atoms
Gd2Co7          | TM ratio: 0.778 |  9 atoms
Gd2Co9          | TM ratio: 0.818 | 11 atoms
Gd2Co11         | TM ratio: 0.846 | 13 atoms
Gd2Co13         | TM ratio: 0.867 | 15 atoms
Gd2Co15         | TM ratio: 0.882 | 17 atoms
Gd2Co17         | TM ratio: 0.895 | 19 atoms
Gd3Co10         | TM ratio: 0.769 | 13 atoms
Gd3Co11         | TM ratio: 0.786 | 14 atoms
Gd3Co13         | TM ratio: 0.812 | 16 atoms
Gd3Co14         | TM ratio: 0.824 | 17 atoms
Gd3Co16         | TM ratio: 0.842 | 19 atoms
Gd3Co17         | TM ratio: 0.850 | 20 atoms
Gd4Co13         | TM ratio: 0.765 | 17 atoms
Gd4Co15         | TM ratio: 0.789 | 19 atoms
Gd1Ni3          | TM ratio: 0.750 |  4 atoms
Gd1Ni4          | TM ratio: 0.800 |  5 atoms
Gd1Ni5          | TM ratio: 0.833 |  6 atoms
Gd1Ni6          | TM ratio: 0.857 |  7 atoms
Gd1Ni7          | TM ratio: 0.875 |  8 atoms
Gd1Ni8          | TM ratio: 0.889 |  9 atoms
Gd1Ni9          | TM ratio: 0.900 | 10 atoms
Gd1Ni10         | TM ratio: 0.909 | 11 atoms
Gd1Ni11         | TM ratio: 0.917 | 12 atoms
Gd1Ni12         | TM ratio: 0.923 | 13 atoms
Gd1Ni13         | TM ratio: 0.929 | 14 atoms
Gd1Ni14         | TM ratio: 0.933 | 15 atoms
Gd1Ni15         | TM ratio: 0.938 | 16 atoms
Gd1Ni16         | TM ratio: 0.941 | 17 atoms
Gd1Ni17         | TM ratio: 0.944 | 18 atoms
Gd1Ni18         | TM ratio: 0.947 | 19 atoms
Gd1Ni19         | TM ratio: 0.950 | 20 atoms
Gd2Ni7          | TM ratio: 0.778 |  9 atoms
Gd2Ni9          | TM ratio: 0.818 | 11 atoms
Gd2Ni11         | TM ratio: 0.846 | 13 atoms
Gd2Ni13         | TM ratio: 0.867 | 15 atoms
Gd2Ni15         | TM ratio: 0.882 | 17 atoms
Gd2Ni17         | TM ratio: 0.895 | 19 atoms
Gd3Ni10         | TM ratio: 0.769 | 13 atoms
Gd3Ni11         | TM ratio: 0.786 | 14 atoms
Gd3Ni13         | TM ratio: 0.812 | 16 atoms
Gd3Ni14         | TM ratio: 0.824 | 17 atoms
Gd3Ni16         | TM ratio: 0.842 | 19 atoms
Gd3Ni17         | TM ratio: 0.850 | 20 atoms
Gd4Ni13         | TM ratio: 0.765 | 17 atoms
Gd4Ni15         | TM ratio: 0.789 | 19 atoms
