chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,VASP_form_energy,VASP_e_above_hull,VASP_on_hull,change
Co-Mn,mp-8634,Mn,0.083098,0.083098,False,0.094943,0.094943,False,
Co-Mn,mp-999543,MnCo3,0.084163,0.097092,False,0.037629,0.045207,False,
Co-Ti,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Ti,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Ti,mp-1079863,TiCo3,-0.225042,0.036661,False,-0.221807,0.035718,False,
Co-Ti,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Ti,mp-1191331,Ti2Co,-0.284904,0.0,True,-0.28204,0.0,True,
Co-Ti,mp-1191422,TiCo2,-0.304797,0.003179,False,-0.305994,0.0,True,GAINED
Co-Ti,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Ti,mp-1208216,TiCo4,0.727974,0.937336,False,0.737055,0.943074,False,
Co-Ti,mp-1208254,Ti4Co,0.492608,0.66355,False,0.493736,0.66296,False,
Co-Ti,mp-1238818,Ti,0.310308,0.310308,False,0.309075,0.309075,False,
Co-Ti,mp-1244924,Ti,0.183287,0.183287,False,0.182224,0.182224,False,
Co-Ti,mp-1245006,Ti,0.141384,0.141384,False,0.137373,0.137373,False,
Co-Ti,mp-1245164,Ti,0.138332,0.138332,False,0.137808,0.137808,False,
Co-Ti,mp-1245170,Ti,0.169614,0.169614,False,0.168655,0.168655,False,
Co-Ti,mp-1245320,Ti,0.155102,0.155102,False,0.162302,0.162302,False,
Co-Ti,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Ti,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Ti,mp-30566,Ti2Co,0.439726,0.724629,False,0.450337,0.732377,False,
Co-Ti,mp-46,Ti,0.004435,0.004435,False,0.005132,0.005132,False,
Co-Ti,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Ti,mp-608,TiCo3,-0.261703,0.0,True,-0.257524,0.0,True,
Co-Ti,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Ti,mp-695,TiCo2,-0.302375,0.005601,False,-0.301887,0.004107,False,
Co-Ti,mp-6985,Ti,0.061963,0.061963,False,0.066316,0.066316,False,
Co-Ti,mp-72,Ti,0.0,0.0,True,0.0,0.0,True,
Co-Ti,mp-73,Ti,0.112036,0.112036,False,0.115654,0.115654,False,
Co-Ti,mp-823,TiCo,-0.40052,0.0,True,-0.396061,0.0,True,
Co-V,mp-1002109,VCo,-0.086133,0.098219,False,-0.085615,0.099837,False,
Co-V,mp-1017529,VCo3,-0.169152,0.003333,False,-0.170552,0.005606,False,
Co-V,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-V,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-V,mp-1095057,VCo3,-0.165672,0.006813,False,-0.169697,0.006462,False,
Co-V,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-V,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-V,mp-1216400,VCo4,0.050842,0.188829,False,0.03535,0.176277,False,
Co-V,mp-1216405,VCo3,0.047773,0.220258,False,0.056543,0.232702,False,
Co-V,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-V,mp-146,V,0.0,0.0,True,0.0,0.0,True,
Co-V,mp-1585,V3Co,-0.196219,0.0,True,-0.194746,0.0,True,
Co-V,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-V,mp-2647074,V,0.253785,0.253785,False,0.252177,0.252177,False,
Co-V,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-V,mp-542614,VCo3,-0.172485,0.0,True,-0.176159,0.0,True,
Co-V,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-V,mp-680599,VCo3,0.993776,1.166261,False,0.993172,1.169331,False,
Co-V,mp-8632,V,0.24714,0.24714,False,0.236842,0.236842,False,
Co-Y,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Y,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Y,mp-1105598,Y3Co,-0.144205,0.0,True,-0.135824,0.000122,False,LOST
Co-Y,mp-1106140,Y2Co17,-0.094235,0.0,True,-0.0918,0.0,True,
Co-Y,mp-112,Y,0.00355,0.00355,False,0.0,0.0,True,GAINED
Co-Y,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Y,mp-1187717,Y,0.006933,0.006933,False,0.009822,0.009822,False,
Co-Y,mp-1187739,Y,0.0,0.0,True,0.018676,0.018676,False,LOST
Co-Y,mp-1188333,Y2Co7,-0.059272,0.077357,False,-0.150952,0.0,True,GAINED
Co-Y,mp-1189329,Y3Co,-0.142648,0.001556,False,-0.135946,0.0,True,GAINED
Co-Y,mp-1192425,YCo3,-0.105986,0.040712,False,-0.155103,0.004627,False,
Co-Y,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Y,mp-1216292,Y4Co3,-0.148959,0.0331,False,-0.141924,0.031181,False,
Co-Y,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Y,mp-1294,YCo2,-0.176904,0.0,True,-0.174019,0.0,True,
Co-Y,mp-2588,YCo3,-0.096144,0.050554,False,-0.15973,0.0,True,GAINED
Co-Y,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Y,mp-2827,YCo5,-0.104503,0.011988,False,-0.101078,0.021777,False,
Co-Y,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Y,mp-570718,Y2Co17,-0.092317,0.001918,False,-0.090629,0.00117,False,
Co-Y,mp-573425,Y8Co5,-0.171517,0.001223,False,-0.164552,0.0,True,GAINED
Co-Y,mp-616512,Y3Co2,-0.165172,0.01083,False,-0.161196,0.00635,False,
Co-Y,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Y,mp-8053,YCo,-0.193673,0.003528,False,-0.187005,0.0,True,GAINED
Co-Y,mp-865373,YCo,-0.197201,0.0,True,-0.184177,0.002828,False,LOST
Co-Y,mp-9,Y,0.023963,0.023963,False,0.024577,0.024577,False,
Co-Zn,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Zn,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Zn,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Zn,mp-1187812,Zn,0.01085,0.01085,False,0.0,0.0,True,GAINED
Co-Zn,mp-1187951,ZnCo3,0.047224,0.076359,False,0.05831,0.081333,False,
Co-Zn,mp-1187978,ZnCo,0.036646,0.094916,False,0.046204,0.09225,False,
Co-Zn,mp-1187993,Zn3Co,-0.051971,0.035434,False,-0.027702,0.041368,False,
Co-Zn,mp-1192361,Zn11Co2,-0.09861,0.0,True,-0.077925,0.0,True,
Co-Zn,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Zn,mp-1207538,Zn17Co3,-0.08533,0.012352,False,-0.065779,0.01134,False,
Co-Zn,mp-1215431,ZnCo2,0.020071,0.058917,False,0.025604,0.056302,False,
Co-Zn,mp-1215897,Zn53Co7,-0.089633,0.0,True,-0.070142,0.0,True,
Co-Zn,mp-1244987,Zn,0.058375,0.058375,False,0.095024,0.095024,False,
Co-Zn,mp-1245093,Zn,0.055069,0.055069,False,0.095089,0.095089,False,
Co-Zn,mp-1245184,Zn,0.048852,0.048852,False,0.084253,0.084253,False,
Co-Zn,mp-1245266,Zn,0.052316,0.052316,False,0.09062,0.09062,False,
Co-Zn,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Zn,mp-2646972,Zn,0.005205,0.005205,False,0.036768,0.036768,False,
Co-Zn,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Zn,mp-2647117,Zn,0.071662,0.071662,False,0.102324,0.102324,False,
Co-Zn,mp-30568,Zn13Co,-0.057106,0.0,True,-0.043708,0.0,True,
Co-Zn,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Zn,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Zn,mp-79,Zn,0.0,0.0,True,0.005595,0.005595,False,LOST
Co-Zn,mp-971744,ZnCo3,0.046572,0.075706,False,0.064413,0.087436,False,
Co-Zn,mp-971948,Zn3Co,-0.036882,0.050523,False,-0.015238,0.053832,False,
Co-Zn,mp-981215,Zn3Co,-0.054867,0.032537,False,-0.025591,0.043479,False,
Cr-Fe,mp-1008282,Cr3Fe,0.126792,0.126792,False,0.112209,0.112209,False,
Cr-Fe,mp-1008285,Cr3Fe,0.259411,0.259411,False,0.241833,0.241833,False,
Cr-Fe,mp-1017511,Cr3Fe,0.270225,0.270225,False,0.255313,0.255313,False,
Cr-Fe,mp-1018067,CrFe3,0.063674,0.063674,False,0.056093,0.056093,False,
Cr-Fe,mp-1018081,CrFe3,0.050003,0.050003,False,0.041632,0.041632,False,
Cr-Fe,mp-1059289,Cr,0.335908,0.335908,False,0.310405,0.310405,False,
Cr-Fe,mp-1077708,Cr2Fe,0.289243,0.289243,False,0.282452,0.282452,False,
Cr-Fe,mp-1096950,Fe,0.476699,0.476699,False,0.470606,0.470606,False,
Cr-Fe,mp-1192789,Cr,0.263578,0.263578,False,0.240158,0.240158,False,
Cr-Fe,mp-1194030,Fe,0.175289,0.175289,False,0.172779,0.172779,False,
Cr-Fe,mp-1226211,CrFe,0.092834,0.092834,False,0.082087,0.082087,False,
Cr-Fe,mp-1226230,CrFe4,0.029958,0.029958,False,0.024062,0.024062,False,
Cr-Fe,mp-1245108,Fe,0.279455,0.279455,False,0.255747,0.255747,False,
Cr-Fe,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Cr-Fe,mp-1271128,Fe,0.099135,0.099135,False,0.111556,0.111556,False,
Cr-Fe,mp-1271198,Fe,0.054992,0.054992,False,0.162432,0.162432,False,
Cr-Fe,mp-13,Fe,0.0,0.0,True,0.000182,0.000182,False,LOST
Cr-Fe,mp-136,Fe,0.097806,0.097806,False,0.103732,0.103732,False,
Cr-Fe,mp-150,Fe,0.148365,0.148365,False,0.157182,0.157182,False,
Cr-Fe,mp-17,Cr,0.081128,0.081128,False,0.060141,0.060141,False,
Cr-Fe,mp-568345,Fe,0.761412,0.761412,False,0.759141,0.759141,False,
Cr-Fe,mp-8633,Cr,0.402526,0.402526,False,0.389809,0.389809,False,
Cr-Fe,mp-89,Cr,0.42034,0.42034,False,0.396013,0.396013,False,
Cr-Fe,mp-90,Cr,0.0,0.0,True,0.0,0.0,True,
Cu-Fe,mp-1010136,Cu,0.035708,0.035708,False,0.035523,0.035523,False,
Cu-Fe,mp-1056079,Cu,1.982934,1.982934,False,2.047267,2.047267,False,
Cu-Fe,mp-1059259,Cu,0.142906,0.142906,False,0.150243,0.150243,False,
Cu-Fe,mp-1096950,Fe,0.476699,0.476699,False,0.470606,0.470606,False,
Cu-Fe,mp-1120774,Cu,0.159117,0.159117,False,0.174446,0.174446,False,
Cu-Fe,mp-1184260,Fe3Cu,0.180964,0.180964,False,0.151683,0.151683,False,
Cu-Fe,mp-1184311,Fe3Cu,0.132275,0.132275,False,0.132288,0.132288,False,
Cu-Fe,mp-1184444,FeCu3,0.181251,0.181251,False,0.180138,0.180138,False,
Cu-Fe,mp-1194030,Fe,0.175289,0.175289,False,0.172779,0.172779,False,
Cu-Fe,mp-1224945,FeCu,0.17183,0.17183,False,0.172649,0.172649,False,
Cu-Fe,mp-1224953,FeCu3,0.105512,0.105512,False,0.108344,0.108344,False,
Cu-Fe,mp-1224977,FeCu4,0.061599,0.061599,False,0.084703,0.084703,False,
Cu-Fe,mp-1225131,Fe3Cu,0.070401,0.070401,False,0.068645,0.068645,False,
Cu-Fe,mp-1245108,Fe,0.279455,0.279455,False,0.255747,0.255747,False,
Cu-Fe,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Cu-Fe,mp-1271128,Fe,0.099135,0.099135,False,0.111556,0.111556,False,
Cu-Fe,mp-1271198,Fe,0.054992,0.054992,False,0.162432,0.162432,False,
Cu-Fe,mp-13,Fe,0.0,0.0,True,0.000182,0.000182,False,LOST
Cu-Fe,mp-136,Fe,0.097806,0.097806,False,0.103732,0.103732,False,
Cu-Fe,mp-150,Fe,0.148365,0.148365,False,0.157182,0.157182,False,
Cu-Fe,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Cu-Fe,mp-568345,Fe,0.761412,0.761412,False,0.759141,0.759141,False,
Cu-Fe,mp-989695,Cu,0.005766,0.005766,False,0.017,0.017,False,
Cu-Fe,mp-989782,Cu,0.007492,0.007492,False,0.025389,0.025389,False,
Cu-Fe,mp-998890,Cu,0.03664,0.03664,False,0.039812,0.039812,False,
Cu-Gd,mp-1010136,Cu,0.035708,0.035708,False,0.035523,0.035523,False,
Cu-Gd,mp-1056079,Cu,1.982934,1.982934,False,2.047267,2.047267,False,
Cu-Gd,mp-1059259,Cu,0.142906,0.142906,False,0.150243,0.150243,False,
Cu-Gd,mp-1077933,GdCu2,-0.247795,0.0,True,-0.24628,0.0,True,
Cu-Gd,mp-1120774,Cu,0.159117,0.159117,False,0.174446,0.174446,False,
Cu-Gd,mp-11421,Gd,0.0876,0.0876,False,0.091168,0.091168,False,
Cu-Gd,mp-1194708,GdCu6,-0.144101,0.0034,False,-0.142475,0.000864,False,
Cu-Gd,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Cu-Gd,mp-19981,Gd,0.030212,0.030212,False,0.033975,0.033975,False,
Cu-Gd,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Cu-Gd,mp-570087,Gd,0.020306,0.020306,False,0.021152,0.021152,False,
Cu-Gd,mp-614455,GdCu,-0.211289,0.0,True,-0.199975,0.0,True,
Cu-Gd,mp-614502,Gd,0.048381,0.048381,False,0.043918,0.043918,False,
Cu-Gd,mp-636253,GdCu5,-0.172084,0.0,True,-0.167228,0.0,True,
Cu-Gd,mp-989695,Cu,0.005766,0.005766,False,0.017,0.017,False,
Cu-Gd,mp-989782,Cu,0.007492,0.007492,False,0.025389,0.025389,False,
Cu-Gd,mp-998890,Cu,0.03664,0.03664,False,0.039812,0.039812,False,
Cu-Ni,mp-1008728,Ni,0.09556,0.09556,False,0.09752,0.09752,False,
Cu-Ni,mp-1010136,Cu,0.035708,0.035708,False,0.035523,0.035523,False,
Cu-Ni,mp-1014111,Ni,0.620239,0.620239,False,0.632028,0.632028,False,
Cu-Ni,mp-10257,Ni,0.026142,0.026142,False,0.022732,0.022732,False,
Cu-Ni,mp-1056079,Cu,1.982934,1.982934,False,2.047267,2.047267,False,
Cu-Ni,mp-1059259,Cu,0.142906,0.142906,False,0.150243,0.150243,False,
Cu-Ni,mp-1094136,Ni,0.739852,0.739852,False,0.713162,0.713162,False,
Cu-Ni,mp-1120774,Cu,0.159117,0.159117,False,0.174446,0.174446,False,
Cu-Ni,mp-1184054,CuNi3,0.031935,0.031935,False,0.030235,0.030235,False,
Cu-Ni,mp-1184069,CuNi,0.029276,0.029276,False,0.031971,0.031971,False,
Cu-Ni,mp-1225687,CuNi,0.018481,0.018481,False,0.010717,0.010717,False,
Cu-Ni,mp-1225694,CuNi3,0.092158,0.092158,False,0.090597,0.090597,False,
Cu-Ni,mp-1225695,CuNi,0.064863,0.064863,False,0.068501,0.068501,False,
Cu-Ni,mp-1225698,Cu3Ni,0.050509,0.050509,False,0.051974,0.051974,False,
Cu-Ni,mp-1246134,Ni,0.409911,0.409911,False,0.403887,0.403887,False,
Cu-Ni,mp-23,Ni,0.0,0.0,True,0.0,0.0,True,
Cu-Ni,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Cu-Ni,mp-989695,Cu,0.005766,0.005766,False,0.017,0.017,False,
Cu-Ni,mp-989782,Cu,0.007492,0.007492,False,0.025389,0.025389,False,
Cu-Ni,mp-998890,Cu,0.03664,0.03664,False,0.039812,0.039812,False,
Cu-Y,mp-1010136,Cu,0.035708,0.035708,False,0.035523,0.035523,False,
Cu-Y,mp-1056079,Cu,1.982934,1.982934,False,2.047267,2.047267,False,
Cu-Y,mp-1059259,Cu,0.142906,0.142906,False,0.150243,0.150243,False,
Cu-Y,mp-1077241,YCu2,-0.154954,0.106105,False,-0.160403,0.10319,False,
Cu-Y,mp-1080443,YCu,-0.258562,0.0,True,-0.255215,0.0,True,
Cu-Y,mp-1102436,YCu2,-0.187613,0.073446,False,-0.189315,0.074277,False,
Cu-Y,mp-112,Y,0.00355,0.00355,False,0.0,0.0,True,GAINED
Cu-Y,mp-1120774,Cu,0.159117,0.159117,False,0.174446,0.174446,False,
Cu-Y,mp-1187717,Y,0.006933,0.006933,False,0.009822,0.009822,False,
Cu-Y,mp-1187739,Y,0.0,0.0,True,0.018676,0.018676,False,LOST
Cu-Y,mp-1190402,Y2Cu3,0.346416,0.606476,False,0.347755,0.607997,False,
Cu-Y,mp-2698,YCu2,-0.261059,0.0,True,-0.263593,0.0,True,
Cu-Y,mp-2797,YCu5,-0.190248,0.0,True,-0.17454,0.0,True,
Cu-Y,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Cu-Y,mp-712,YCu,-0.244927,0.013635,False,-0.217504,0.03771,False,
Cu-Y,mp-9,Y,0.023963,0.023963,False,0.024577,0.024577,False,
Cu-Y,mp-989695,Cu,0.005766,0.005766,False,0.017,0.017,False,
Cu-Y,mp-989782,Cu,0.007492,0.007492,False,0.025389,0.025389,False,
Cu-Y,mp-998890,Cu,0.03664,0.03664,False,0.039812,0.039812,False,
Fe-Gd,mp-1096950,Fe,0.476699,0.476699,False,0.470606,0.470606,False,
Fe-Gd,mp-11421,Gd,0.0876,0.0876,False,0.091168,0.091168,False,
Fe-Gd,mp-1181137,GdFe5,0.009751,0.015075,False,0.003905,0.003905,False,
Fe-Gd,mp-1194030,Fe,0.175289,0.175289,False,0.172779,0.172779,False,
Fe-Gd,mp-1194558,Gd6Fe23,1.242713,1.247781,False,0.014874,0.014874,False,
Fe-Gd,mp-1196805,Gd2Fe17,-0.005717,0.0,True,0.023326,0.023326,False,LOST
Fe-Gd,mp-1245108,Fe,0.279455,0.279455,False,0.255747,0.255747,False,
Fe-Gd,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-Gd,mp-1271128,Fe,0.099135,0.099135,False,0.111556,0.111556,False,
Fe-Gd,mp-1271198,Fe,0.054992,0.054992,False,0.162432,0.162432,False,
Fe-Gd,mp-13,Fe,0.0,0.0,True,0.000182,0.000182,False,LOST
Fe-Gd,mp-136,Fe,0.097806,0.097806,False,0.103732,0.103732,False,
Fe-Gd,mp-150,Fe,0.148365,0.148365,False,0.157182,0.157182,False,
Fe-Gd,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Fe-Gd,mp-19981,Gd,0.030212,0.030212,False,0.033975,0.033975,False,
Fe-Gd,mp-20089,GdFe2,0.016234,0.020494,False,0.011319,0.011319,False,
Fe-Gd,mp-568345,Fe,0.761412,0.761412,False,0.759141,0.759141,False,
Fe-Gd,mp-570087,Gd,0.020306,0.020306,False,0.021152,0.021152,False,
Fe-Gd,mp-581734,Gd2Fe17,-0.005382,0.000335,False,0.024124,0.024124,False,
Fe-Gd,mp-614502,Gd,0.048381,0.048381,False,0.043918,0.043918,False,
Fe-Mn,mp-1009134,MnFe,0.092559,0.092559,False,0.043854,0.043854,False,
Fe-Mn,mp-1055908,Mn,0.145445,0.145445,False,0.160365,0.160365,False,
Fe-Mn,mp-1057139,Mn,0.65752,0.65752,False,0.672163,0.672163,False,
Fe-Mn,mp-1096950,Fe,0.476699,0.476699,False,0.470606,0.470606,False,
Fe-Mn,mp-1191484,Mn,0.806585,0.806585,False,0.82508,0.82508,False,
Fe-Mn,mp-1194030,Fe,0.175289,0.175289,False,0.172779,0.172779,False,
Fe-Mn,mp-1221628,MnFe3,0.065649,0.065649,False,0.070052,0.070052,False,
Fe-Mn,mp-1221635,MnFe4,0.035551,0.035551,False,0.040152,0.040152,False,
Fe-Mn,mp-1221991,Mn7Fe3,0.087501,0.087501,False,0.065586,0.065586,False,
Fe-Mn,mp-1245108,Fe,0.279455,0.279455,False,0.255747,0.255747,False,
Fe-Mn,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-Mn,mp-1271128,Fe,0.099135,0.099135,False,0.111556,0.111556,False,
Fe-Mn,mp-1271198,Fe,0.054992,0.054992,False,0.162432,0.162432,False,
Fe-Mn,mp-13,Fe,0.0,0.0,True,0.000182,0.000182,False,LOST
Fe-Mn,mp-136,Fe,0.097806,0.097806,False,0.103732,0.103732,False,
Fe-Mn,mp-150,Fe,0.148365,0.148365,False,0.157182,0.157182,False,
Fe-Mn,mp-2647025,Mn,0.052632,0.052632,False,0.074523,0.074523,False,
