chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Co-Gd,mp-102,Co,0.016114,0.016114,False,0.009481,0.009481,False,
Co-Gd,mp-1072089,Co,0.199326,0.199326,False,0.179613,0.179613,False,
Co-Gd,mp-1077071,GdCo5,-0.072854,0.0,True,0.796755,0.894908,False,LOST
Co-Gd,mp-11421,Gd,0.0876,0.0876,False,0.069435,0.069435,False,
Co-Gd,mp-1183710,Co,0.005447,0.005447,False,0.004962,0.004962,False,
Co-Gd,mp-1193227,Co,0.126341,0.126341,False,0.119397,0.119397,False,
Co-Gd,mp-1201816,Gd2Co17,0.668625,0.714638,False,0.490174,0.552165,False,
Co-Gd,mp-1225806,Gd4Co3,-0.134522,0.0,True,-0.336523,0.0,True,
Co-Gd,mp-1271142,Co,0.010145,0.010145,False,1e-06,1e-06,True,GAINED
Co-Gd,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Co-Gd,mp-19981,Gd,0.030212,0.030212,False,6e-06,6e-06,True,GAINED
Co-Gd,mp-2647057,Co,0.089566,0.089566,False,0.089122,0.089122,False,
